venue,year,title,categories,kernels,platform,approach,confidence,cited_by,doi,one_liner,artifact_status,artifact_url,artifact_stars
HPDC,2023,Efficient Execution of SpGEMM on Long Vector Architectures,sparse_la,SpGEMM,cpu,algorithmic,high,7,10.1145/3588195.3593000,SpGEMM algorithm exploiting long-vector architectures for few-nonzero-per-column matrices,none,,0
HPDC,2023,FZ-GPU: A Fast and High-Ratio Lossy Compressor for Scientific Computing Applications on GPUs,compression,error-bounded lossy compression; quantization; bitshuffle,nvidia-gpu,manual,high,26,10.1145/3588195.3592994,"FZ-GPU fused GPU lossy compressor, 4.2x over cuSZ and 2.3x over cuZFP",verified,https://github.com/szcompressor/FZ-GPU,15
HPDC,2023,Rapidgzip: Parallel Decompression and Seeking in Gzip Files Using Cache Prefetching,compression,gzip decompression,cpu,manual,high,7,10.1145/3588195.3592992,"Rapidgzip parallel gzip decompression via cache prefetching, 55x over gzip on 128 cores",verified,https://github.com/mxmlnkn/rapidgzip,457
ICS,2023,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs,dense_la,GEMM,nvidia-gpu,manual,high,13,10.1145/3577193.3593715,High-performance fault-tolerant GEMM on GPUs beating cuBLAS,verified,https://github.com/shixun404/Fault-Tolerant-SGEMM-on-NVIDIA-GPUs,0
ICS,2023,BitGNN: Unleashing the Performance Potential of Binary Graph Neural Networks on GPUs,ml_kernels; sparse_la,binary GNN inference; SpMM,nvidia-gpu,manual,high,8,10.1145/3577193.3593725,"Binary GNN inference backend via GPU bit-ops, 8-22x",none,,0
ICS,2023,FAZ: A flexible auto-tuned modular error-bounded compression framework for scientific data,compression,error-bounded lossy compression,cpu,autotuning,high,20,10.1145/3577193.3593721,Adaptive auto-tuned modular error-bounded lossy compression framework,verified,https://github.com/JLiu-1/FAZ,0
ICS,2023,Fast All-Pairs Shortest Paths Algorithm in Large Sparse Graph,graph,all-pairs shortest paths,nvidia-gpu; distributed,algorithmic,high,10,10.1145/3577193.3593728,Distributed-GPU Floyd+Dijkstra all-pairs shortest paths for sparse graphs,verified,https://github.com/Liu-xiandong/FastAPSP,0
ICS,2023,GPULZ: Optimizing LZSS Lossless Compression for Multi-byte Data on Modern GPUs,compression,LZSS,nvidia-gpu,manual,high,19,10.1145/3577193.3593706,"GPU LZSS lossless compression for multi-byte data, high throughput",verified,https://github.com/hpdps-group/ICS23-GPULZ,16
ICS,2023,Lightweight Huffman Coding for Efficient GPU Compression,compression,Huffman coding,nvidia-gpu,manual,high,10,10.1145/3577193.3593736,Lightweight GPU Huffman coding to speed up cuSZ compression,none,,0
ICS,2023,OpenFFT: An Adaptive Tuning Framework for 3D FFT on ARM Multicore CPUs,fft_spectral,3D FFT,arm-cpu; cpu,autotuning,high,5,10.1145/3577193.3593735,Adaptive cache-tuning framework for 3D FFT on ARM multicore CPUs,none,,0
ICS,2023,Optimizing Multi-grid Computation and Parallelization on Multi-cores,solver_components; sparse_la,multigrid; SYMGS,cpu; arm-cpu,manual,high,10,10.1145/3577193.3593726,Optimized SYMGS/multigrid parallelization on multicore CPUs (HPCG),likely,https://github.com/YXJ-123/MGopt-APP,4
ICS,2023,PERKS: a Locality-Optimized Execution Model for Iterative Memory-bound GPU Applications,stencil_pde; solver_components,2D/3D stencil; conjugate gradient; SpMV,nvidia-gpu,manual,high,11,10.1145/3577193.3593705,Persistent-kernel locality optimization for iterative stencil/CG GPU kernels,verified,https://github.com/neozhang307/PERKS,14
ICS,2023,Performance Embeddings: A Similarity-Based Transfer Tuning Approach to Performance Optimization,sparse_la; dense_la; stencil_pde; ml_kernels,SpMM; GEMM; stencil,cpu,autotuning,medium,6,10.1145/3577193.3593714,Similarity-based transfer autotuning producing optimized LA/stencil kernels,none,,0
ICS,2023,RT-kNNS Unbound: Using RT Cores to Accelerate Unrestricted Neighbor Search,primitives,kNN,nvidia-gpu,algorithmic,high,21,10.1145/3577193.3593738,RT-core-accelerated unbounded k-nearest-neighbor search on GPU,none,,0
ICS,2023,Revisiting Temporal Blocking Stencil Optimizations,stencil_pde,stencil,nvidia-gpu,manual,high,13,10.1145/3577193.3593716,Temporal-blocking stencil optimization (EBISU) on GPUs,none,,0
ICS,2023,Scalable algorithms for compact spanners on real world graphs,graph,graph spanner,cpu,algorithmic,high,0,10.1145/3577193.3593727,Scalable parallel compact graph spanner construction,none,,0
ICS,2023,Towards a Unified Implementation of GEMM in BLIS,dense_la,GEMM,cpu,manual,high,0,10.1145/3577193.3593707,Unified BLIS GEMM for small and large sizes via packing fusion,none,,0
ICS,2023,Using Additive Modifications in LU Factorization Instead of Pivoting,dense_la,LU factorization,nvidia-gpu; distributed,algorithmic,high,5,10.1145/3577193.3593731,Additive-modification LU factorization avoiding pivoting on GPUs,none,,0
ICS,2023,Wafer-Scale Fast Fourier Transforms,fft_spectral,1D/2D/3D FFT,other,manual,high,10,10.1145/3577193.3593708,1D/2D/3D FFT on the Cerebras CS-2 wafer-scale engine,none,,0
IPDPS,2023,A Machine Learning Approach Towards Runtime Optimisation of Matrix Multiplication,dense_la,GEMM,cpu,autotuning,high,3,10.1109/IPDPS54959.2023.00059,"ML model picks optimal thread count for multi-thread BLAS GEMM, 25-40% speedup",none,,0
IPDPS,2023,A Novel Triangular Space-Filling Curve for Cache-Oblivious In-Place Transposition of Square Matrices,dense_la,matrix transposition,cpu,algorithmic,high,1,10.1109/IPDPS54959.2023.00045,Triangular space-filling-curve cache-oblivious blocking for in-place matrix transpose,none,,0
IPDPS,2023,Accelerating CNN inference on long vector architectures via co-design,dense_la; ml_kernels,im2col+GEMM; Winograd convolution,sim; arm-cpu,algorithmic,medium,12,10.1109/IPDPS54959.2023.00024,Co-designed BLIS-like im2col+GEMM & tiled Winograd CNN kernels for RVV/SVE vector CPUs,none,,0
IPDPS,2023,An Experimental Study of Two-level Schwarz Domain-Decomposition Preconditioners on GPUs,sparse_la; dense_la; solver_components,GDSW preconditioner; incomplete LU; sparse triangular solve,nvidia-gpu; cpu; distributed,algorithmic,high,5,10.1109/IPDPS54959.2023.00073,FROSch two-level Schwarz DD preconditioner on GPU via multi-MPI-rank-per-GPU decomposition,none,,0
IPDPS,2023,ByteTransformer: A High-Performance Transformer Boosted for Variable-Length Inputs,ml_kernels,fused Multi-Head Attention; padding-free transformer,nvidia-gpu,manual,high,50,10.1109/IPDPS54959.2023.00042,"Padding-free fused MHA kernel for variable-length transformers, 6.13x over PyTorch on A100",verified,https://github.com/bytedance/ByteTransformer,479
IPDPS,2023,Data Distribution Schemes for Dense Linear Algebra Factorizations on Any Number of Nodes,dense_la,LU factorization; Cholesky factorization,distributed,algorithmic,high,2,10.1109/IPDPS54959.2023.00047,Generalized tile-distribution schemes for LU/Cholesky factorization on arbitrary node counts,none,,0
IPDPS,2023,Distributed Sparse Random Projection Trees for Constructing K-Nearest Neighbor Graphs,sparse_la; primitives,KNN graph construction; sparse random projection tree,distributed,algorithmic,high,3,10.1109/IPDPS54959.2023.00014,Distributed sparse random-projection-tree algorithm builds KNN graphs 100x faster than peers,verified,https://github.com/HipGraph/DRPT,4
IPDPS,2023,Dynamic Tensor Linearization and Time Slicing for Efficient Factorization of Infinite Data Streams,tensor; sparse_la,CP-stream; spCP-stream; streaming tensor factorization,cpu,algorithmic,high,2,10.1109/IPDPS54959.2023.00048,Dynamic tensor linearization/time-slicing speeds streaming CP factorization up to 11x on CPU,none,,0
IPDPS,2023,Engineering Massively Parallel MST Algorithms,graph,Minimum Spanning Tree (Boruvka),distributed,algorithmic,high,4,10.1109/IPDPS54959.2023.00075,"Scalable distributed Boruvka/Filter-Boruvka MST algorithm, up to 800x faster than prior work",verified,https://github.com/mschimek/kamsta,0
IPDPS,2023,Engineering a Distributed-Memory Triangle Counting Algorithm,graph,Triangle counting,distributed,algorithmic,high,5,10.1109/IPDPS54959.2023.00076,"Distributed-memory triangle counting via async sparse-all-to-all, up to 18x faster than SOTA",verified,https://github.com/niklas-uhl/katric,14
IPDPS,2023,Fast Sparse GPU Kernels for Accelerated Training of Graph Neural Networks,sparse_la; ml_kernels,SpMM; SDDMM,nvidia-gpu,manual,high,16,10.1109/IPDPS54959.2023.00057,"Hybrid-parallel SpMM/SDDMM GPU kernels with dynamic task partition, up to 1.72x GNN training speedup",verified,https://github.com/fan1997/HP-SpMM-SDDMM,0
IPDPS,2023,GPU-Accelerated Error-Bounded Compression Framework for Quantum Circuit Simulations,compression; tensor,lossy compression (cuSZ/cuSZx pipeline),nvidia-gpu,algorithmic,medium,6,10.1109/IPDPS54959.2023.00081,GPU error-bounded compression pipeline (pre/post-processing atop cuSZ/cuSZx) for quantum tensors,none,,0
IPDPS,2023,Harnessing the Crowd for Autotuning High-Performance Computing Applications,dense_la; solver_components,QR factorization (PDGEQRF); SuperLU_DIST; Hypre AMG,distributed; cpu,autotuning,medium,5,10.1109/IPDPS54959.2023.00069,"Crowd-sourced transfer-learning autotuner (GPTuneCrowd) speeds PDGEQRF, SuperLU_DIST, Hypre tuning",likely,https://github.com/gptune/GPTune,0
IPDPS,2023,Lossy Scientific Data Compression With SPERR,compression,wavelet lossy compression (SPECK/SPERR),cpu,algorithmic,high,59,10.1109/IPDPS54959.2023.00104,SPERR: SPECK-wavelet-based lossy scientific data compressor with parallel and point-wise-error modes,verified,https://github.com/NCAR/SPERR,0
IPDPS,2023,Memory-aware Optimization for Sequences of Sparse Matrix-Vector Multiplications,sparse_la,SpMV (sequence of SpMV),cpu; arm-cpu,algorithmic,high,13,10.1109/IPDPS54959.2023.00046,"Memory-aware partitioning/pipelining for sequences of SpMV, beating Intel MKL on 4 CPU platforms",verified,https://github.com/Fliange/FBMPK,0
IPDPS,2023,On the Arithmetic Intensity of Distributed-Memory Dense Matrix Multiplication Involving a Symmetric Input Matrix (SYMM),dense_la,SYMM,distributed,algorithmic,high,2,10.1109/IPDPS54959.2023.00044,Alternative data distributions raise arithmetic intensity of distributed symmetric matmul (SYMM) to GEMM level,none,,0
IPDPS,2023,PAQR: Pivoting Avoiding QR factorization,dense_la,QR factorization; rank-revealing QR,cpu; nvidia-gpu,algorithmic,high,4,10.1109/IPDPS54959.2023.00040,"PAQR: pivoting-avoiding QR factorization, QR-cost accuracy comparable to RRQR",verified,https://github.com/luszczek/paqr,0
IPDPS,2023,PRF: A Fast Parallel Relaxed Flooding Algorithm for Voronoi Diagram Generation on GPU,primitives,Voronoi diagram generation; parallel flooding,nvidia-gpu,algorithmic,high,2,10.1109/IPDPS54959.2023.00077,"PRF: parallel relaxed-flooding GPU algorithm for Voronoi diagrams, up to 6.8x over parallel banding",none,,0
IPDPS,2023,RT-DBSCAN: Accelerating DBSCAN using Ray Tracing Hardware,primitives; nbody_md,DBSCAN; nearest-neighbor query via ray tracing,nvidia-gpu,algorithmic,high,16,10.1109/IPDPS54959.2023.00100,"RT-DBSCAN: uses GPU ray-tracing cores for DBSCAN neighbor queries, 1.3-4x over SOTA GPU DBSCAN",none,,0
IPDPS,2023,SelB-k-NN: A Mini-Batch K-Nearest Neighbors Algorithm on AI Processors,primitives; dense_la,k-NN; k-selection; bitonic sort,other,algorithmic,high,0,10.1109/IPDPS54959.2023.00088,"SelB-k-NN: selection-bitonic mini-batch k-NN algorithm tuned for AI processors (Ascend), 2-78x speedup",none,,0
IPDPS,2023,Towards Faster Fully Homomorphic Encryption Implementation with Integer and Floating-point Computing Power of GPUs,fft_spectral; primitives,FHE primitives; modular arithmetic; homomorphic multiplication,nvidia-gpu,manual,high,9,10.1109/IPDPS54959.2023.00085,"GPU FHE primitive implementations using INT32/FP64 units, 3.2x speedup on CKKS homomorphic mult",none,,0
IPDPS,2023,Traversing Large Compressed Graphs on GPUs,graph; compression,BFS; SSSP; PageRank; graph compression (Elias-Fano),nvidia-gpu,algorithmic,high,3,10.1109/IPDPS54959.2023.00013,Elias-Fano compressed graph format with GPU decompression enables BFS/SSSP/PageRank on larger graphs,verified,https://github.com/pgera/efg,0
IPDPS,2023,ZFP-X: Efficient Embedded Coding for Accelerating Lossy Floating Point Compression,compression,ZFP lossy compression; embedded coding,cpu,algorithmic,high,7,10.1109/IPDPS54959.2023.00107,Bit-group embedded coding backend for ZFP boosts (de)compression throughput up to 2.5x,verified,https://github.com/BingluCS/ZFP-X,1
PPoPP,2023,A Scalable Hybrid Total FETI Method for Massively Parallel FEM Simulations,dense_la; solver_components,batched GEMV,nvidia-gpu; distributed,manual,low,2,10.1145/3572848.3577517,New multi-stream batched GEMV kernel (+15-37% throughput/GFLOPs) inside a load-balanced HTFETI solver at 12k GPUs,none,,0
PPoPP,2023,Dynamic N: M Fine-Grained Structured Sparse Attention Mechanism,sparse_la; dense_la; ml_kernels,SDDMM; N:M structured sparse attention,nvidia-gpu,manual,high,22,10.1145/3572848.3577500,"DFSS: dynamic N:M fine-grained sparse SDDMM kernel for attention, 1.38-1.86x over full attention on A100",none,,0
PPoPP,2023,Efficient Direct Convolution Using Long SIMD Instructions,ml_kernels,direct convolution,cpu,manual,high,13,10.1145/3572848.3577435,"Bounded/Multi-Block direct convolution algorithms tuned for 16384-bit long-SIMD CPUs, up to 1.83x over vendor lib",none,,0
PPoPP,2023,End-to-End LU Factorization of Large Matrices on GPUs,sparse_la; dense_la,sparse LU factorization,nvidia-gpu,manual,high,6,10.1145/3572848.3577486,"First complete GPU sparse LU pipeline (out-of-core symbolic + dynamic-parallelism numeric), up to 32.65x",none,,0
PPoPP,2023,Fast Symmetric Eigenvalue Decomposition via WY Representation on Tensor Core,dense_la,symmetric eigenvalue decomposition; successive band reduction,nvidia-gpu,algorithmic,high,5,10.1145/3572848.3577516,"WY-representation reformulation of successive band reduction for Tensor-Core EVD, up to 3.7x over ZY-based SOTA",none,,0
PPoPP,2023,High-Performance Filters for GPUs,primitives,approximate membership filter,nvidia-gpu,manual,high,9,10.1145/3572848.3577507,"High-performance, feature-rich approximate-membership-query filter data structures for GPUs",verified,https://github.com/huntermBerkeley/PPOPP_Artifacts,0
PPoPP,2023,Lifetime-Based Optimization for Simulating Quantum Circuits on a New Sunway Supercomputer,tensor,tensor network contraction,cpu; distributed,algorithmic,high,11,10.1145/3572848.3577529,"Lifetime-based slicing/contraction-path optimizations for Sycamore RQC simulation, 308.6 Pflops on Sunway",none,,0
PPoPP,2023,Provably Fast and Space-Efficient Parallel Biconnectivity,graph,biconnected components,cpu,algorithmic,high,6,10.1145/3572848.3577483,Space-efficient parallel biconnected-components algorithm improving on Tarjan-Vishkin/BFS-based approaches,verified,https://github.com/ucrparlay/FAST-BCC,6
PPoPP,2023,TDC: Towards Extremely Efficient CNNs on GPUs via Hardware-Aware Tucker Decomposition,tensor; ml_kernels,Tucker-format convolution,nvidia-gpu,codegen,high,2,10.1145/3572848.3577478,"TDC: hardware-aware Tucker-decomposition CNN kernel + co-design framework, up to 2.21x over cuDNN on A100",none,,0
PPoPP,2023,iQAN: Fast and Accurate Vector Search with Efficient Intra-Query Parallelism on Multi-Core Architectures,primitives; graph,approximate nearest neighbor search,cpu,algorithmic,high,18,10.1145/3572848.3577527,"iQAN: intra-query-parallel graph-based vector search algorithm, up to 76.6x lower latency on multi-core CPUs",none,,0
SC,2023,5 ExaFlop/s HPL-MxP Benchmark with Linear Scalability on the 40-Million-Core Sunway Supercomputer,dense_la,mixed-precision LU factorization (HPL-MxP),other; distributed,manual,high,10,10.1145/3581784.3607030,"HPL-MxP mixed-precision solver scales linearly to 40M cores on Sunway, 5 ExaFlop/s at 85% peak",none,,0
SC,2023,A GPU Algorithm for Detecting Strongly Connected Components,graph,strongly connected components,nvidia-gpu,manual,high,3,10.1145/3581784.3607071,"ECL-SCC: GPU strongly-connected-components algorithm, up to 7.8x faster than prior GPU code on mesh graphs",verified,https://github.com/burtscher/ECL-SCC,0
SC,2023,A High-Performance MST Implementation for GPUs,graph,minimum spanning tree,nvidia-gpu,manual,high,3,10.1145/3581784.3607093,"ECL-MST: GPU minimum spanning tree, 4.5-4.6x faster than best prior GPU codes",verified,https://github.com/burtscher/ECL-MST,11
SC,2023,ADT-FSE: A New Encoder for SZ,compression,entropy encoding (ADT-FSE),cpu,algorithmic,high,8,10.1145/3581784.3607044,"ADT-FSE: adaptive transcoding + FSE entropy encoder for SZ, up to 8x faster decompression",none,,0
SC,2023,Co-design Hardware and Algorithm for Vector Search,primitives,approximate nearest-neighbor / vector search,fpga,codegen,high,21,10.1145/3581784.3607045,"FANNS: FPGA hardware-algorithm co-design framework auto-generating vector search accelerators, up to 37x speedup",verified,https://github.com/WenqiJiang/SC-ANN-FPGA,26
SC,2023,DASP: Specific Dense Matrix Multiply-Accumulate Units Accelerated General Sparse Matrix-Vector Multiplication,sparse_la; dense_la,SpMV,nvidia-gpu,manual,high,33,10.1145/3581784.3607051,DASP: uses dense matrix multiply-accumulate (tensor-core-like) units to accelerate SpMV inner products,none,,0
SC,2023,Efficient Maximal Biclique Enumeration on GPUs,graph,maximal biclique enumeration,nvidia-gpu,manual,high,7,10.1145/3581784.3607059,"GMBE: first GPU maximal biclique enumeration algorithm, 70.6x faster than best CPU parallel code",none,,0
SC,2023,Enabling Real World Scale Structural Superlubricity All-Atom Simulation on the Next-Generation Sunway Supercomputer,nbody_md,MD neighbor list / inter-layer potential force kernel,other; distributed,manual,high,3,10.1145/3581784.3613210,Redesigned neighbor list + vectorized inter-layer potential kernel for structural superlubricity MD at 38M-core scale,none,,0
SC,2023,"FASDA: An FPGA-Aided, Scalable and Distributed Accelerator for Range-Limited Molecular Dynamics",nbody_md,range-limited non-bonded MD force calculation,fpga; distributed,manual,high,11,10.1145/3581784.3607100,FASDA: scalable distributed FPGA accelerator for range-limited molecular dynamics force calculation,none,,0
SC,2023,GraphSet: High Performance Graph Mining through Equivalent Set Transformations,graph,subgraph pattern mining,cpu; nvidia-gpu,codegen,high,13,10.1145/3581784.3613213,GraphSet: equivalent-set-transformation compiler for high-performance graph pattern mining,verified,https://github.com/sth1997/GraphSet,10
SC,2023,High-Performance SVD Partial Spectrum Computation,dense_la,SVD (partial spectrum),distributed; cpu,algorithmic,high,3,10.1145/3581784.3607109,"QDWH-based partial-spectrum SVD solver, up to 6x faster than ScaLAPACK PDGESVD on distributed manycore",none,,0
SC,2023,High-Performance and Programmable Attentional Graph Neural Networks with Global Tensor Formulations,ml_kernels; sparse_la,sparse-dense tensor ops for GNN attention,distributed; nvidia-gpu,algorithmic,medium,5,10.1145/3581784.3607067,"Tensor-formulated attentional GNN kernels with communication-minimizing sparse-dense tensor ops, 4-5x over DGL",none,,0
SC,2023,Large-Scale Simulation of Structural Dynamics Computing on GPU Clusters,sparse_la; solver_components,batched SpMV,nvidia-gpu; distributed,manual,medium,4,10.1145/3581784.3607082,"Variable-size batched SpMV GPU kernel + load balancing for HTFETI structural-dynamics solver at 12,800 GPUs",none,,0
SC,2023,Legate Sparse: Distributed Sparse Computing in Python,sparse_la,sparse matrix ops (SpMV/SpGEMM etc.),distributed; nvidia-gpu; cpu,library,high,8,10.1145/3581784.3607033,"Legate Sparse: distributed SciPy-compatible sparse array library across CPU/GPU clusters, 65% of PETSc perf",none,,0
SC,2023,Optimizing Direct Convolutions on ARM Multi-Cores,ml_kernels,direct convolution,arm-cpu,manual,high,6,10.1145/3581784.3607107,"nDirect: optimized direct-convolution kernel for ARM multi-core CPUs, outperforms SOTA convolution approaches",none,,0
SC,2023,Optimizing High-Performance Linpack for Exascale Accelerated Architectures,dense_la,LU factorization; panel factorization,amd-gpu; cpu; distributed,manual,high,11,10.1145/3581784.3607066,"rocHPL: CPU panel-factorization threading, core time-sharing, MPI-hiding for exascale HPL on Frontier",none,,0
SC,2023,PanguLU: A Scalable Regular Two-Dimensional Block-Cyclic Sparse Direct Solver on Distributed Heterogeneous Systems,sparse_la; dense_la,sparse LU factorization,distributed; cpu,algorithmic,high,20,10.1145/3581784.3607050,PanguLU: 2D block-cyclic sparse direct LU solver avoiding dense-BLAS fill-in waste,verified,https://github.com/SuperScientificSoftwareLaboratory/PanguLU,49
SC,2023,Parallel Top-K Algorithms on GPU: A Comprehensive Study and New Methods,primitives,top-K selection,nvidia-gpu,algorithmic,high,15,10.1145/3581784.3607062,"AIR Top-K/GridSelect: adaptive iteration-fused GPU top-K, up to 574x over prior radix top-K",verified,https://github.com/ZhangJingrong/gpu_topK_benchmark,0
SC,2023,PeeK: A Prune-Centric Approach for K Shortest Path Computation,graph,k-shortest-path,cpu,algorithmic,medium,6,10.1145/3581784.3607110,PeeK: prune-centric parallel K-shortest-simple-paths algorithm avoiding full graph search,none,,0
SC,2023,Runtime Composition of Iterations for Fusing Loop-carried Sparse Dependence,sparse_la,sparse kernel fusion; SpTRSV; SpMV,cpu,codegen,high,9,10.1145/3581784.3607097,"Sparse fusion: inspector-guided codegen fusing loop-carried sparse kernels, 4.2x over MKL/ParSy",none,,0
SC,2023,"Scaling the ""Memory Wall"" for Multi-Dimensional Seismic Processing with Algebraic Compression on Cerebras CS-2 Systems",dense_la,tile low-rank matrix-vector multiply,other,manual,high,19,10.1145/3581784.3627042,"Embarrassingly parallel TLR-MVM on 48 Cerebras CS-2 systems for seismic MDD, 92.58 PB/s bandwidth",verified,https://github.com/ecrc/tlrmvm,0
SC,2023,Space Efficient Sequence Alignment for SRAM-Based Computing: X-Drop on the Graphcore IPU,primitives,X-Drop sequence alignment,other,manual,high,8,10.1145/3581784.3607094,Space-efficient X-Drop sequence-alignment kernel implementation on Graphcore IPU SRAM,none,,0
SC,2023,TANGO: re-thinking quantization for graph neural network training on GPUs,ml_kernels; sparse_la,quantized GNN aggregation,nvidia-gpu,manual,medium,7,10.1145/3581784.3607037,Tango: quantization-aware GNN aggregation primitives accelerating GNN training in DGL,none,,0
SC,2023,Unified Communication Optimization Strategies for Sparse Triangular Solver on CPU and GPU Clusters,sparse_la,SpTRSV,cpu; nvidia-gpu; distributed,algorithmic,high,7,10.1145/3581784.3607092,"3D communication-avoiding SpTRSV algorithm scaling to 256 GPUs, up to 6.5x over 2D SpTRSV",verified,https://github.com/xiaoyeli/superlu_dist,0
SC,2023,VENOM: A Vectorized N: M Format for Unleashing the Power of Sparse Tensor Cores,sparse_la; ml_kernels,sparse GEMM (N:M),nvidia-gpu,library,high,22,10.1145/3581784.3607087,"VENOM/Spatha: V:N:M sparse format and library exploiting Sparse Tensor Cores, up to 37x over cuBLAS",none,,0
SC,2023,cuSZp: An Ultra-fast GPU Error-bounded Lossy Compression Framework with Optimized End-to-End Performance,compression,error-bounded lossy compression,nvidia-gpu,manual,high,48,10.1145/3581784.3607048,"cuSZp: single-kernel fused GPU lossy compressor, 95.5x faster end-to-end than cuSZ",verified,https://github.com/szcompressor/cuSZp,68
TPDS,2023,A Comprehensive Performance Model of Sparse Matrix-Vector Multiplication to Guide Kernel Optimization,sparse_la,SpMV,cpu; arm-cpu,manual,high,12,10.1109/TPDS.2022.3225230,"SpV8: SpMV kernel guided by a CPU pipeline/memory performance model, 3.4x over Intel MKL.",none,,0
TPDS,2023,A Low-Memory Community Detection Algorithm With Hybrid Sparse Structure and Structural Information for Large-Scale Networks,graph,community detection,cpu; nvidia-gpu,algorithmic,medium,1,10.1109/TPDS.2023.3277885,"HSSInfo: hybrid sparse structure for low-memory parallel community detection, up to 19x memory shrink.",verified,https://github.com/DrownFish19/HSSInfo,3
TPDS,2023,A Multi-GPU Aggregation-Based AMG Preconditioner for Iterative Linear Solvers,sparse_la; solver_components,AMG preconditioner; Krylov solver,nvidia-gpu; distributed,manual,high,8,10.1109/TPDS.2023.3287238,"Multi-GPU MPI-CUDA AMG-preconditioned Krylov solver (BootCMatchG), up to 2x over Nvidia AmgX.",verified,https://github.com/bootcmatch/BootCMatchGX,10
TPDS,2023,A Novel Compute-Efficient Tridiagonal Solver for Many-Core Architectures,dense_la; solver_components,tridiagonal solver,nvidia-gpu; cpu,algorithmic,high,1,10.1109/TPDS.2022.3214762,"WM-pGE batched tridiagonal solver, 25%/12% faster than PCR-pThomas on V100/Intel KNL.",none,,0
TPDS,2023,A Novel Parallel Algorithm for Sparse Tensor Matrix Chain Multiplication via TCU-Acceleration,sparse_la; tensor,SpMTTKRP; SpTTMChain,nvidia-gpu,manual,high,14,10.1109/TPDS.2023.3288520,"TCU-accelerated sparse tensor-matrix-chain multiplication, up to 24x speedup for SpMTTKRP on A100.",none,,0
TPDS,2023,An Unequal Caching Strategy for Shared-Memory Graph Analytics,graph,BFS; PageRank; graph traversal,cpu,algorithmic,medium,7,10.1109/TPDS.2022.3218885,"Syze: unequal cache-sized graph caching/partitioning strategy, up to 17.8x over Ligra.",none,,0
TPDS,2023,Bio-ESMD: A Data Centric Implementation for Large-Scale Biological System Simulation on Sunway TaihuLight Supercomputer,nbody_md,MD bonded-force computation,cpu; distributed,manual,high,6,10.1109/TPDS.2022.3220559,"Bio-ESMD: data-centric cell-list MD kernel for listed bonds on Sunway, 2x over SW_GROMACS.",none,,0
TPDS,2023,COFFEE: Cross-Layer Optimization for Fast and Efficient Executions of Sinkhorn-Knopp Algorithm on HPC Systems,solver_components,Sinkhorn-Knopp matrix scaling,cpu; distributed,manual,medium,2,10.1109/TPDS.2023.3277915,"COFFEE: cross-layer micro-kernel/data-blocking/MPI redesign of Sinkhorn-Knopp algorithm, up to 7.5x.",none,,0
TPDS,2023,Design and Implementation of Deep Learning 2D Convolutions on Modern CPUs,ml_kernels; dense_la,2D convolution,cpu; arm-cpu,manual,high,6,10.1109/TPDS.2023.3322037,"Analytically-modeled vectorized/tiled 2D convolution for x86 CPUs, up to 7.2x over oneDNN.",none,,0
TPDS,2023,Distributed Approaches to Butterfly Analysis on Large Dynamic Bipartite Graphs,graph,butterfly counting; tip decomposition,distributed,algorithmic,medium,29,10.1109/TPDS.2022.3221821,Distributed vertex-centric algorithms (DBCA/DTDA/DTMA) for butterfly counting and tip decomposition on dynamic bipartite graphs.,none,,0
TPDS,2023,Efficient GPU Implementations of Post-Quantum Signature XMSS,primitives,SHA2 hashing; Merkle tree / WOTS+,nvidia-gpu,manual,medium,16,10.1109/TPDS.2022.3233348,"First GPU implementation of post-quantum XMSS signatures, parallel hash-tree strategies giving huge speedups over CPU/GPU baselines.",none,,0
TPDS,2023,Enabling Efficient Random Access to Hierarchically Compressed Text Data on Diverse GPU Platforms,primitives,random-access query on compressed text; succinct GPU data-structure construction,nvidia-gpu,manual,medium,2,10.1109/TPDS.2023.3294341,GPU data structures/algorithms enabling ~53x faster random access to hierarchically compressed text without decompression.,none,,0
TPDS,2023,FLUPS - A Flexible and Performant Massively Parallel Fourier Transform Library,fft_spectral,distributed FFT,distributed; cpu,library,high,3,10.1109/TPDS.2023.3254302,"FLUPS distributed FFT library adds node-centered data layout and non-blocking comms, benchmarked to 49K cores.",verified,https://github.com/vortexlab-uclouvain/flups,0
TPDS,2023,FT-BLAS: A Fault Tolerant High Performance BLAS Implementation on x86 CPUs,dense_la,GEMM; BLAS L1-L3 routines,cpu,library,high,2,10.1109/TPDS.2023.3316011,"FT-BLAS: fault-tolerant x86 BLAS implementation matching/beating MKL, OpenBLAS and BLIS with <3% FT overhead.",none,,0
TPDS,2023,Full-Stack Optimizing Transformer Inference on ARM Many-Core CPU,dense_la; ml_kernels,GEMM; transformer attention,arm-cpu,manual,high,15,10.1109/TPDS.2023.3280805,"Full-stack ARM many-core Transformer inference: tailored GEMM, NUMA-aware threading, sparse-format optimizations, up to 8x speedup.",none,,0
TPDS,2023,HE-Booster: An Efficient Polynomial Arithmetic Acceleration on GPUs for Fully Homomorphic Encryption,fft_spectral,NTT; INTT; polynomial multiplication,nvidia-gpu,manual,high,39,10.1109/TPDS.2022.3228628,"HE-Booster: GPU NTT/INTT-centric polynomial-arithmetic acceleration for FHE, up to 251x vs CPU libraries.",none,,0
